ACT,SAT,in_state_tuition,out_state_tuition,percent_admitted,percent_fin_aid,rank,school,sf_ratio,student_population,total_cost,undergrad_population
31-34,1380-1570,"$45,195","$45,195",5%,68%,#1,Stanford University,10,"16,963","$64,477","7,019"
31-34,1350-1560,"$48,310","$48,310",19%,61%,#2,Williams College,6,"2,126","$66,240","2,072"
31-35,1400-1600,"$41,820","$41,820",7%,62%,#3,Princeton University,6,"8,088","$61,160","5,391"
32-35,1410-1600,"$43,938","$43,938",6%,72%,#4,Harvard University,8,"28,791","$64,400","10,338"
33-35,1420-1570,"$45,016","$45,016",8%,89%,#5,Massachusetts Institute of Technology,8,"11,319","$63,250","4,512"
31-35,1410-1600,"$45,800","$45,800",6%,59%,#6,Yale University,6,"12,336","$66,445","5,477"
31-34,1380-1540,"$45,832","$45,832",12%,65%,#7,Pomona College,7,"1,650","$64,870","1,650"
30-34,1330-1550,"$47,434","$47,434",9%,65%,#8,Brown University,9,"9,181","$65,380","6,548"
30-34,1330-1550,"$48,272","$48,272",24%,48%,#9,Wesleyan University,8,"3,224","$65,443","2,928"
29-34,1360-1540,"$46,060","$46,060",17%,60%,#10,Swarthmore College,8,"1,542","$64,363","1,542"
31-34,1360-1550,"$47,668","$47,668",10%,61%,#11,University of Pennsylvania,6,"24,806","$66,800","11,548"
30-34,1350-1548,"$48,526","$48,526",14%,68%,#12,Amherst College,8,"1,792","$66,572","1,792"
32-34,1340-1520,"$46,237","$46,237",21%,70%,#13,University of Notre Dame,10,"12,179","$64,775","8,448"
26-31,1160-1390,"$46,237","$46,237",9%,70%,#14,United States Military Academy,7,"4,414",$0,"4,414"
31-34,1390-1560,"$47,251","$47,251",13%,63%,#15,Northwestern University,7,"21,554","$68,060","9,048"
31-34,1390-1570,"$51,008","$51,008",7%,53%,#16,Columbia University,6,"27,589","$69,084","8,100"
30-34,1360-1550,"$48,108","$48,108",12%,61%,#17,Dartmouth College,8,"6,298","$67,044","4,289"
30-33,1360-1520,"$48,643","$48,643",17%,46%,#18,Tufts University,9,"10,907","$65,900","5,177"
30-33,1360-1520,"$46,808","$46,808",15%,48%,#19,Bowdoin College,9,"1,805","$63,440","1,805"
32-35,1435-1600,"$49,380","$49,380",9%,69%,#20,University of Chicago,6,"15,097","$70,100","5,738"
30-33,1320-1520,"$46,744","$46,744",17%,51%,#21,Georgetown University,11,"17,858","$66,971","7,595"
30-33,1270-1460,"$47,436","$47,436",34%,55%,#22,Boston College,15,"14,317","$65,620","9,856"
31-34,1330-1490,"$47,214","$47,214",25%,55%,#23,Haverford College,8,"1,194","$66,648","1,194"
31-34,1180-1390,"$47,214","$47,214",8%,55%,#24,United States Naval Academy,9,"4,511",$0,"4,511"
28-32,1230-1440,"$45,377","$45,377",22%,64%,#25,Davidson College,10,"1,770","$62,894","1,770"
31-34,1370-1550,"$47,243","$47,243",11%,47%,#26,Duke University,7,"15,856","$66,739","6,626"
30-33,1320-1510,"$47,736","$47,736",23%,80%,#27,Carleton College,9,"2,057","$64,420","2,057"
30-33,1320-1460,"$45,617","$45,617",19%,63%,#28,Washington and Lee University,8,"2,264","$61,235","1,890"
30-34,1330-1510,"$47,286","$47,286",14%,60%,#29,Cornell University,9,"21,679","$65,494","14,282"
31-34,1390-1550,"$40,566","$40,566",15%,67%,#30,Rice University,6,"6,621","$58,253","3,926"
30-33,1350-1520,"$47,395","$47,395",11%,49%,#31,Claremont McKenna College,8,"1,324","$66,325","1,301"
30-33,1290-1480,"$45,078","$45,078",30%,68%,#32,Wellesley College,7,"2,323","$63,390","2,323"
30-33,1320-1490,"$49,570","$49,570",24%,69%,#33,Vassar College,8,"2,421","$65,480","2,421"
30-33,1260-1470,"$46,044","$46,044",17%,46%,#34,Middlebury College,9,"2,533","$63,456","2,526"
28-32,1210-1390,"$46,044","$46,044",17%,46%,#35,United States Air Force Academy,8,"3,952",$0,"3,952"
28-33,1250-1460,"$13,208","$42,394",29%,58%,#36,University of Virginia,15,"23,732","$58,745","16,483"
28-32,1250-1440,"$46,040","$46,040",24%,55%,#37,Barnard College,10,"2,573","$65,261","2,573"
29-33,1270-1470,"$17,656","$39,916",33%,53%,#38,College of William & Mary,12,"8,437","$55,330","6,299"
34-35,1500-1600,"$43,362","$43,362",9%,69%,#39,California Institute of Technology,3,"2,209","$63,471",983
29-34,1240-1500,"$12,972","$35,850",16%,62%,#40,"University of California, Berkeley",17,"37,565","$59,963","27,126"
28-32,1230-1430,"$47,350","$47,350",28%,51%,#41,Colby College,10,"1,847","$63,330","1,847"
29-32,1280-1470,"$48,175","$48,175",26%,49%,#42,Colgate University,9,"2,888","$64,800","2,875"
28-32,1260-1450,"$48,682","$48,682",33%,91%,#43,Oberlin College,9,"2,978","$66,870","2,961"
29-33,1280-1480,"$13,486","$41,906",32%,63%,#44,"University of Michigan, Ann Arbor",12,"43,625","$57,432","28,395"
32-34,1430-1580,"$43,838","$43,838",13%,70%,#45,Vanderbilt University,8,"12,686","$63,532","6,851"
27-33,1190-1460,"$12,705","$35,583",19%,64%,#46,"University of California, Los Angeles",16,"41,845","$58,099","29,633"
28-32,1220-1420,"$8,336","$33,418",28%,67%,#47,"University of North Carolina, Chapel Hill",13,"29,135","$49,431","18,350"
28-32,1230-1420,"$47,330","$47,330",25%,55%,#48,Kenyon College,10,"1,662","$64,360","1,662"
28-32,1210-1400,"$48,498","$48,498",31%,59%,#49,Bucknell University,10,"3,624","$65,268","3,565"
30-33,1310-1470,"$47,820","$47,820",26%,60%,#50,Hamilton College,9,"1,904","$63,870","1,904"
30-33,1310-1470,"$45,692","$45,692",43%,66%,#51,College of the Holy Cross,10,"2,787","$61,524","2,787"
30-33,1310-1470,"$47,030","$47,030",25%,51%,#52,Bates College,10,"1,773","$64,590","1,773"
