school,url
https://www.forbes.com/colleges/stanford-university/,Stanford University
https://www.forbes.com/colleges/williams-college/,Williams College
https://www.forbes.com/colleges/princeton-university/,Princeton University
https://www.forbes.com/colleges/harvard-university/,Harvard University
https://www.forbes.com/colleges/massachusetts-institute-of-technology/,Massachusetts Institute of Technology
https://www.forbes.com/colleges/yale-university/,Yale University
https://www.forbes.com/colleges/pomona-college/,Pomona College
https://www.forbes.com/colleges/brown-university/,Brown University
http://www.ratemyprofessors.com/campusRatings.jsp?sid=1161,Wesleyan University
https://www.forbes.com/colleges/swarthmore-college/,Swarthmore College
https://www.forbes.com/colleges/university-of-pennsylvania/,University of Pennsylvania
https://www.forbes.com/colleges/amherst-college/,Amherst College
https://www.forbes.com/colleges/university-of-notre-dame/,University of Notre Dame
https://www.forbes.com/colleges/united-states-military-academy/,United States Military Academy
http://www.ratemyprofessors.com/campusRatings.jsp?sid=709,Northwestern University
https://www.forbes.com/colleges/columbia-university-in-the-city-of-new-york/,Columbia University
https://www.forbes.com/colleges/dartmouth-college/,Dartmouth College
https://www.forbes.com/colleges/tufts-university/,Tufts University
https://www.forbes.com/colleges/bowdoin-college/,Bowdoin College
http://www.ratemyprofessors.com/campusRatings.jsp?sid=1085,University of Chicago
https://www.forbes.com/colleges/georgetown-university/,Georgetown University
https://www.forbes.com/colleges/boston-college/,Boston College
https://www.forbes.com/colleges/haverford-college/,Haverford College
https://www.forbes.com/colleges/united-states-naval-academy/,United States Naval Academy
https://www.forbes.com/colleges/davidson-college/,Davidson College
https://www.forbes.com/colleges/duke-university/,Duke University
https://www.forbes.com/colleges/carleton-college/,Carleton College
https://www.forbes.com/colleges/washington-and-lee-university/,Washington and Lee University
https://www.forbes.com/colleges/cornell-university/,Cornell University
https://www.forbes.com/colleges/rice-university/,Rice University
https://www.forbes.com/colleges/claremont-mckenna-college/,Claremont McKenna College
https://www.forbes.com/colleges/wellesley-college/,Wellesley College
https://www.forbes.com/colleges/vassar-college/,Vassar College
https://www.forbes.com/colleges/middlebury-college/,Middlebury College
https://www.forbes.com/colleges/united-states-air-force-academy/,United States Air Force Academy
https://www.forbes.com/colleges/university-of-virginia-main-campus/,University of Virginia
https://www.forbes.com/colleges/barnard-college/,Barnard College
https://www.forbes.com/colleges/college-of-william-and-mary/,College of William & Mary
https://www.forbes.com/colleges/california-institute-of-technology/,California Institute of Technology
https://www.forbes.com/colleges/university-of-california-berkeley/,"University of California, Berkeley"
https://www.forbes.com/colleges/colby-college/,Colby College
https://www.forbes.com/colleges/colgate-university/,Colgate University
https://www.forbes.com/colleges/oberlin-college/,Oberlin College
https://www.forbes.com/colleges/university-of-michigan/,University of Michigan
https://www.forbes.com/colleges/vanderbilt-university/,Vanderbilt University
https://www.forbes.com/colleges/university-of-california-los-angeles/,"University of California, Los Angeles"
