clubs,date,facilities,food,happiness,helpful,internet,location,opportunities,rank,reputation,school,social,unhelpful
5,06/22/2017,4,4,4,1,5,4,5,1,5,Stanford University,3,0
3,12/13/2016,4,4,5,2,4,4,4,1,5,Stanford University,5,4
3,11/11/2016,5,3,4,1,4,4,5,1,5,Stanford University,5,3
4,10/16/2016,5,5,5,1,4,5,5,1,5,Stanford University,5,3
4,09/03/2016,4,3,4,4,4,4,5,1,4,Stanford University,4,8
5,08/07/2016,5,5,3,7,2,4,3,1,3,Stanford University,5,17
5,08/07/2016,5,5,5,18,5,5,5,1,5,Stanford University,5,11
2,07/11/2016,3,3,3,4,2,3,4,1,4,Stanford University,2,2
1,05/20/2016,4,1,4,6,5,5,5,1,5,Stanford University,1,4
5,05/17/2016,5,5,5,1,5,5,5,1,5,Stanford University,5,5
3,02/21/2016,4,4,4,16,5,4,5,1,5,Stanford University,3,14
3,02/11/2016,5,3,3,3,3,3,4,1,5,Stanford University,3,2
4,01/11/2016,5,5,5,4,5,5,3,1,5,Stanford University,4,4
4,12/05/2015,2,3,4,2,1,4,5,1,5,Stanford University,3,7
5,11/24/2015,5,4,5,20,5,5,5,1,5,Stanford University,5,5
5,10/16/2015,5,5,5,5,5,5,5,1,5,Stanford University,5,2
5,10/03/2015,5,5,5,3,5,5,5,1,5,Stanford University,5,4
3,09/01/2015,4,3,2,23,4,5,4,1,5,Stanford University,2,5
4,08/10/2015,4,4,5,5,5,5,5,1,5,Stanford University,4,7
4,08/10/2015,5,4,4,5,4,4,5,1,5,Stanford University,5,8
2,07/28/2015,3,3,4,23,4,4,3,1,4,Stanford University,3,23
5,06/11/2015,5,5,5,11,5,5,5,1,5,Stanford University,5,11
5,03/24/2015,5,4,4,2,5,5,5,1,5,Stanford University,5,18
5,10/31/2014,5,4,4,10,3,5,5,1,5,Stanford University,5,6
3,10/23/2014,1,1,1,37,1,3,2,1,5,Stanford University,1,30
3,10/21/2014,3,4,5,11,3,1,3,1,5,Stanford University,3,18
5,10/14/2014,5,5,4,12,5,5,5,1,5,Stanford University,5,6
5,10/13/2014,4,4,4,8,3,5,5,1,5,Stanford University,5,7
5,09/27/2014,5,5,5,4,5,5,5,1,5,Stanford University,5,22
5,08/25/2014,5,3,4,1,5,5,5,1,5,Stanford University,5,16
2,08/16/2014,3,1,1,53,3,3,1,1,3,Stanford University,3,14
5,07/15/2014,5,5,5,12,5,5,5,1,5,Stanford University,5,10
5,10/15/2013,4,5,5,2,5,5,1,1,5,Stanford University,5,13
1,08/26/2013,1,1,1,12,1,1,1,1,1,Stanford University,1,19
5,07/24/2013,5,4,4,2,4,4,1,1,5,Stanford University,5,10
4,03/15/2013,5,4,5,2,5,4,5,1,5,Stanford University,5,16
5,02/18/2013,5,5,5,7,4,5,5,1,5,Stanford University,5,11
5,11/22/2012,5,5,4,1,5,5,5,1,5,Stanford University,5,10
5,10/05/2012,5,5,5,0,5,5,5,1,5,Stanford University,5,8
5,08/04/2012,4,4,4,15,5,5,5,1,5,Stanford University,5,1
5,05/22/2012,5,2,3,0,5,5,5,1,5,Stanford University,5,5
5,05/04/2012,5,5,5,10,5,5,5,1,5,Stanford University,5,3
3,12/30/2011,3,1,2,15,2,1,1,1,2,Stanford University,3,2
5,12/06/2011,5,3,4,8,5,4,5,1,5,Stanford University,5,0
5,12/03/2011,4,4,3,0,4,5,5,1,5,Stanford University,4,3
5,11/28/2011,5,5,5,0,5,5,1,1,5,Stanford University,5,3
5,11/12/2011,5,3,3,0,5,4,5,1,5,Stanford University,5,3
5,10/27/2011,3,2,1,0,3,3,3,1,5,Stanford University,3,3
5,10/27/2011,5,5,5,4,5,5,5,1,5,Stanford University,5,4
5,08/29/2011,4,3,4,0,5,2,5,1,5,Stanford University,5,2
5,07/27/2011,5,4,5,0,5,5,5,1,5,Stanford University,5,1
5,06/11/2011,5,5,5,1,5,4,5,1,5,Stanford University,5,3
5,06/04/2011,5,5,5,0,5,5,5,1,5,Stanford University,5,2
5,04/19/2011,5,2,3,0,5,5,5,1,5,Stanford University,5,1
5,03/13/2011,5,5,5,0,5,5,5,1,5,Stanford University,5,1
2,02/24/2011,5,2,4,12,5,3,1,1,4,Stanford University,5,0
1,01/20/2011,1,1,1,0,1,1,1,1,1,Stanford University,1,1
5,12/22/2010,5,4,5,0,5,5,5,1,5,Stanford University,5,1
5,12/18/2010,4,2,3,11,4,5,3,1,3,Stanford University,5,0
5,12/07/2010,5,4,5,4,5,5,5,1,5,Stanford University,5,0
5,12/05/2010,4,5,4,0,5,5,5,1,5,Stanford University,5,1
5,12/02/2010,5,5,5,0,5,5,5,1,5,Stanford University,5,1
5,11/28/2010,5,4,5,0,4,5,5,1,5,Stanford University,5,1
5,09/18/2010,5,5,4,1,5,5,5,1,5,Stanford University,5,0
5,09/13/2010,5,5,5,0,5,5,5,1,5,Stanford University,5,1
1,09/12/2010,1,1,1,3,1,1,1,1,1,Stanford University,1,0
5,08/17/2010,5,5,5,0,5,5,5,1,5,Stanford University,5,0
4,05/18/2010,5,4,4,0,5,3,5,1,5,Stanford University,5,0
5,04/22/2010,5,5,5,1,5,5,5,1,5,Stanford University,5,0
4,06/21/2017,5,4,4,0,5,3,5,2,5,Williams College,4,0
1,04/06/2017,3,1,3,1,5,2,3,2,4,Williams College,2,1
4,11/08/2016,4,2,3,0,3,2,5,2,5,Williams College,3,1
3,08/06/2016,4,3,5,2,5,4,5,2,5,Williams College,4,3
5,02/04/2015,5,4,5,2,4,4,5,2,5,Williams College,5,4
5,07/20/2013,5,5,5,1,5,5,5,2,5,Williams College,5,4
3,03/28/2013,4,2,1,5,4,1,5,2,5,Williams College,3,6
3,11/29/2012,5,4,5,5,4,4,5,2,5,Williams College,2,1
3,07/12/2012,5,4,5,2,5,5,5,2,5,Williams College,3,2
5,10/17/2011,5,5,5,1,5,5,5,2,5,Williams College,5,3
5,09/07/2011,5,2,5,0,2,5,5,2,5,Williams College,5,4
5,05/07/2011,5,5,5,0,5,3,4,2,5,Williams College,4,2
4,09/06/2010,3,3,3,4,3,1,2,2,5,Williams College,2,2
5,08/13/2010,5,5,5,0,5,5,5,2,5,Williams College,5,3
5,06/24/2010,5,5,5,0,5,5,5,2,5,Williams College,5,2
5,07/06/2017,4,5,4,0,3,3,4,3,5,Princeton University,5,0
4,03/24/2017,5,5,3,5,4,5,5,3,5,Princeton University,4,1
2,03/05/2016,5,5,5,3,5,5,5,3,5,Princeton University,5,7
5,10/03/2015,5,5,5,5,4,5,5,3,5,Princeton University,5,6
5,05/30/2015,5,5,5,7,5,5,5,3,5,Princeton University,5,8
4,04/26/2015,5,4,5,5,4,5,4,3,5,Princeton University,5,12
5,11/08/2014,5,5,5,2,5,4,5,3,5,Princeton University,5,9
